"전시회 관람 (미술, 사진, 건축, 디자인 등)","000"
"미술 활동(그림, 서예, 조각, 디자인, 도예, 만화 등)","001"
사진 촬영(디지털 카메라 포함),"002"
박물관 관람,"010"
"음악 연주회 관람(클래식, 오페라 등)","020"
악기 연주/노래 교실,"021"
"전통예술공연 관람(국악, 민속놀이 등)","030"
"전통예술 배우기(사물놀이, 줄타기 등)","031"
연극공연 관람(뮤지컬 포함),"040"
연극,"041"
무용 공연 관람,"050"
"연예 공연 관람(쇼, 콘서트, 마술 쇼 등)","051"
"춤/무용(발레, 한국무용, 현대무용, 방송댄스, 스트릿댄스, 비보잉 등)","052"
문학 행사 참여,"060"
글짓기/독서 토론,"061"
영화 관람,"070"
농구,"100"
농구 관람,"101"
배구,"110"
배구 관람,"111"
야구,"120"
야구 관람,"121"
축구,"130"
축구 관람,"131"
족구,"140"
족구 관람,"141"
테니스,"150"
테니스 관람,"151"
스쿼시,"160"
스쿼시 관람,"161"
당구,"170"
당구 관람,"171"
포켓볼,"180"
포켓볼 관람,"181"
볼링,"190"
볼링 관람,"191"
탁구,"1a0"
탁구 관람,"1a1"
골프,"1b0"
골프 관람,"1b1"
수영,"1c0"
수영 관람,"1c1"
윈드서핑,"1c2"
윈드서핑 관람,"1c3"
수상스키,"1c4"
수상스키 관람,"1c5"
스킨스쿠버다이빙,"1c6"
래프팅,"1c7"
요트,"1c8"
스노보드,"1d0"
스노보드관람,"1d1"
스키,"1d2"
스키 관람,"1d3"
아이스 스케이트,"1d4"
아이스 스케이트 관람,"1d5"
아이스 하키,"1d6"
아이스 하키 관람,"1d7"
보디빌딩,"1e0"
헬스,"1e1"
에어로빅,"1f0"
요가,"1f1"
필라테스,"1f2"
배드민턴,"1g0"
배드민턴 관람,"1g1"
줄넘기,"1h0"
줄넘기 관람,"1h1"
체조,"1h2"
체조 관람,"1h3"
훌라후프,"1h4"
훌라후프 관람,"1h5"
마라톤,"1i0"
마라톤 관람,"1i1"
태권도,"1j0"
태권도 관람,"1j1"
유도,"1j2"
유도 관람,"1j3"
합기도,"1j4"
합기도 관람,"1j5"
검도,"1j6"
검도 관람,"1j7"
권투,"1j8"
권투 관람,"1j9"
탱고,"1k0"
왈츠,"1k1"
자이보,"1k2"
맘보,"1k3"
폴카,"1k4"
차차차,"1k5"
사이클링,"1l0"
사이클링 관람,"1l1"
산악자전거,"1m0"
산악자전거 관람,"1m1"
인라인 스케이트,"1n0"
인라인 스케이트 관람,"1n1"
승마,"1o0"
승마 관람,"1o1"
클라이밍,"1p0"
클라이밍 관람,"1p1"
"문화유적 방문(고궁, 절, 유적지 등)","200"
자연명승 및 풍경 관람,"210"
삼림욕,"211"
국내여행,"220"
해외여행,"221"
소풍/야유회,"222"
유람선 타기,"223"
온천/해수욕,"230"
테마파크/놀이공원/동물원/식물원 가기,"231"
지역축제 참가,"232"
자동차 드라이브,"240"
수집 활동(스크랩 포함),"300"
"생활공예(십자수, 비즈공예, DIY, 꽃꽂이 등)","310"
요리,"320"
다도,"321"
반려 동물 돌보기,"330"
노래방 가기,"340"
"인테리어(집, 자동차 등)","350"
등산,"360"
낚시,"370"
홈페이지/블로그 관리,"380"
SNS,"381"
미디어 제작,"382"
인터넷 서핑,"383"
컴퓨터 게임,"390"
모바일 게임,"391"
콘솔 게임,"392"
보드 게임,"3a0"
퍼즐/큐브,"3a1"
바둑,"3b0"
체스,"3b1"
장기,"3b2"
쇼핑,"3c0"
외식,"3d0"
독서(웹소설 포함),"3e0"
"만화(애니, 웹툰)","3f0"
피부 관리,"3g0"
헤어 관리,"3g1"
네일 아트,"3g2"
마사지,"3g3"
공부,"3h0"
"이색/테마카페 체험(방탈출, VR, 낚시카페 등)","3i0"
"원예(화분, 화단 가꾸기 등)","3j0"
산책,"400"
목욕/사우나/찜질방,"410"
낮잠,"420"
TV시청,"430"
"영상시청(VOD, 유튜브, 넷플릭스, 웨이브, 티빙, 디즈니플러스 등)","431"
라디오/팟캐스트 청취,"440"
음악 감상,"450"
신문/잡지 보기,"460"
사회봉사활동,"500"
종교 활동,"510"
클럽/나이트/디스코/캬바레 가기,"520"
기타,"530"